genome	tax	AMO	hao	NXR	NAP	NAR	NAS	NIR	ccNIR	ppk1	ppk2	ppx	Ni_MP_aver	Cd_MP_aver	Cr_O_aver	Ni_O_aver	Cd_O_aver	Cr_LP_aver	Ni_LP_aver	Cd_LP_aver	Cd_HP_aver	Ni_HP_aver	Cr_MP_aver	Cr_HP_aver	CK	LDAgroup	LDA_socre	pvalue
MAG-117	p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__UBA6663;g__UBA6663;s__							Yes		Yes	Yes		0.73117	1.409776	7.178104	5.027661	6.009495	2.362089	0.617583	2.356335	0.154823	0	3.145369	0.961098	3.324693	CK	3.048934964	0.015042838
MAG-118	p__Proteobacteria;c__Polyangia;o__Palsa-1104;f__;g__;s__		Yes	Yes						Yes	Yes		0.099579	0.277855	0.327017	1.758736	20.497649	0.041185	0.289007	29.559235	0.031654	0.014062	0.067026	0.027811	0.046266			-
MAG-119	p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__;s__									Yes	Yes		0	0	2.938055	14.738273	8.235431	0	0	0	0	0	0	0	0	CK	3.005808721	0.011621484
MAG-12	p__Bacteroidetes;c__Bacteroidia;o__Chitinophagales;f__UBA2359;g__;s__							Yes		Yes	Yes		0	0	24.983359	0.833436	2.720892	0.088334	0.380062	0	0	0	0	0	11.224549	CK	3.313624745	0.013300955
MAG-120	p__Proteobacteria;c__Bacteriovoracia;o__UBA1018;f__UBA1018;g__;s__												13.945188	0.325831	0.076418	0	0.030146	0	0.266001	0.19663	0.082519	1.386204	0	0	3.394892			-
MAG-121	p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__				Yes		Yes			Yes	Yes		3.540207	2.975277	3.638348	3.458304	2.9371	8.721627	4.347721	4.035065	7.08511	6.475735	10.179026	131.98113	1.143298			-
MAG-122	p__Bacteroidetes;c__Chitinophagia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__									Yes			0.363781	0	0	0	0	0	0	0	31.392725	0	0	0	0.804624			-
MAG-123	p__Nitrospirae;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira;s__	Yes	Yes	Yes						Yes	Yes		65.394559	91.414979	15.292604	16.511579	15.117282	0.103372	23.519877	36.67971	36.446842	22.74275	0.214421	0.048851	29.618067	Cd	3.921960303	0.017894989
MAG-124	p__Proteobacteria;c__Oligoflexia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__;s__									Yes			0	1.0138	1.789216	13.637319	5.342298	0	4.9461	0.611821	0.326013	0	0	0	0	CK	2.914418188	0.042359924
MAG-125	p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__Candidatus Contendobacter;s__Contendobacter sp002352185			Yes		Yes				Yes	Yes	Yes	0.3006365	2.923031	11.2433	3.177494	8.104015	0.43784	0.360632	10.986128	0.688196	0.204092	0.490004	0.260486	2.298356			-
